UV-Vis Spectrum of Solution of Ferrocene in anhydrous Acetone
wavelength,absorbance
710,-0.00314343
709.9,-0.00313615
709.8,-0.0031106
709.7,-0.00310164
709.6,-0.00309197
709.5,-0.00309072
709.4,-0.00312857
709.3,-0.00310719
709.2,-0.00309585
709.1,-0.0030937
709,-0.00308111
708.9,-0.00309496
708.8,-0.00310916
708.7,-0.00311794
708.6,-0.00311048
708.5,-0.00311633
708.4,-0.003094
708.3,-0.00309376
708.2,-0.00307597
708.1,-0.00305347
708,-0.00304846
707.9,-0.00303831
707.8,-0.00304034
707.7,-0.0030515
707.6,-0.00307436
707.5,-0.00307544
707.4,-0.00306439
707.3,-0.00305741
707.2,-0.00306493
707.1,-0.00306601
707,-0.00307239
706.9,-0.00306869
706.8,-0.00304995
706.7,-0.00304087
706.6,-0.00303908
706.5,-0.00304261
706.4,-0.00304607
706.3,-0.00303079
706.2,-0.00304392
706.1,-0.00303759
706,-0.00304219
705.9,-0.00304917
705.8,-0.00303574
705.7,-0.00303789
705.6,-0.00301568
705.5,-0.00302458
705.4,-0.00302917
705.3,-0.00301891
705.2,-0.00300392
705.1,-0.00297497
705,-0.00297205
704.9,-0.00298542
704.8,-0.00299246
704.7,-0.00300219
704.6,-0.00299008
704.5,-0.00296315
704.4,-0.00296351
704.3,-0.00296023
704.2,-0.00296847
704.1,-0.00297497
704,-0.00296017
703.9,-0.00294996
703.8,-0.00292537
703.7,-0.00293623
703.6,-0.00294316
703.5,-0.00295599
703.4,-0.00295533
703.3,-0.0029431
703.2,-0.00291898
703.1,-0.00291588
703,-0.00291546
702.9,-0.00289761
702.8,-0.00290662
702.7,-0.00288251
702.6,-0.00289725
702.5,-0.00291223
702.4,-0.00292411
702.3,-0.00293844
702.2,-0.00292877
702.1,-0.00292178
702,-0.00292262
701.9,-0.00291564
701.8,-0.00288961
701.7,-0.00289546
701.6,-0.00288143
701.5,-0.00286537
701.4,-0.00287469
701.3,-0.002836
701.2,-0.0028412
701.1,-0.002852
701,-0.00287057
700.9,-0.00287922
700.8,-0.00285935
700.7,-0.00285618
700.6,-0.0028332
700.5,-0.0028409
